sentence_a,sentence_b,answer
"Although I agree with AM_Hawk as down being both light and compressible, I'd also suggest layering your clothing.",Down is the lightest and most compressible delivering the best warmth.,0
France provides image of possible debris,Malaysia: France has images of possible jet debris,3
PCB appoints Waqar Younis as head coach,Waqar Younis back as Pakistan coach,5
Hijacker arrested after plane lands at Geneva Airport,Hijacked aircraft lands in Geneva,3
US makes case for action against Syria,Saudi Urges U.N. Action against Israel Strikes on Syria,1
Puerto Rican arrested for production of child pornography,Indian guru arrested on suspicion of rape,0
Iraq Holds First Election Since US Pullout,Iraq holds first polls since US pullout as attacks rise,1
"Iran, sextet to resume expert talks",Iran upbeat on 'useful' expert-level nuke talks,1
"49 killed, 148 wounded in violent attacks in Iraq","15 killed, 90 wounded in fresh attacks in Iraq",1
Kenyan troops storm Westgate Mall to end siege,Kenya forces battle to end mall siege,3
EU condemns terrorist attacks in China,Pakistan condemns terrorist attack in China,0
Singapore stocks end up 0.11 pct,Singapore stocks end down 0.45%,1
US says DPRK has no nuclear missile capability,White House says DPRK has no nuclear missile capability,4
the process is run by the prosecutor.,the bf put boxes in the crate to make it smaller.,0
i also had to use my savings to buy a wshing machine when it broke down.,i really do hope more americans turn to god in the future.,0
deal with it at the ballot box.,and that's a tall order.,0
"the low person bit pissed me off, but the prose that followed was so good!",then i found others that countered what she said.,0
"let them argue that evil midgets from outerspace forced him to do it, the end result will be the same, a guilty verdict.",they are almost never encountered because people who know the truth will tell someone.,0
tomorrow is the state of the union and obama will be talking about the huge deficit we have.,they keep talking about the huge deficit in the obama admin.,1
"and while you're at it, find out why rupert is investing in the prince's middle eastern network.","there's only one way to find out: get the damn thing in the gulf and we'll see.""",0
i wonder if he believes them now?,it's not like he needs the money.,0
Bernanke comments keep markets on steady rise,Bernanke stimulus boost to markets,2
"Chinese, Russian FMs exchange opinions on Ukraine crisis",Chinese president arrives in Argentina for state visit,0
Assad warns Turkey of 'heavy price' for backing Syrian rebels,Cabinet at war over arming Syrian rebels,1
Bomb in southern Afghan city kills at least 5,Blast in popular Baghdad coffee shop kills at least 15,0
i have not heard about any kind of will relating to my dad.,i don't know what to make of the whole thing to be honest..,0
"if you can't see that, you need to repeat the 2nd grade.",and i can't say the gop would be any different if they get in.,0
now they are set in their ways.,we are at war with al-qaida.,0
"that theory arose in the 1930s as the answer to the great depression, which, of course, never worked.",that way the people in the know will be able to pick and choose what is needed from what you have provided.,0
Kids playing tag football.,Young boys play touch football.,3
Three children playing in snow.,Three children playing in hay,2
A man walks toward a policeman standing in a crosswalk on a city street.,A policeman stands in a crosswalk in a city.,2
A black dog is walking on the grass with a stick in it's mouth.,The black dog is running on the grass with a toy in it's mouth.,2
Cross-loading with certain belay devices - take a look at the Rhino carabiner which is specially constructed to prevent cross loading.,Keeping some outward tension on the belay device really helps.,0
"We've camped for a month (4 adults/no kids), no TV, no phone, no radio or power & one water spigot.",Tie the end of the yarn to the bottom-most thread of the warp.,0
A few others I could think of: Foxes Foxes are generally not aggressive are easily scared away by humans.,"In the UK we have, comparative to other countries, very few venomous creatures.",0
There are several factors you should considering when judging the severity of a fall.,Perhaps manufacturers advise on how much strain their ropes could take before retirement?,0
"“that’s the real danger of obamacare,” giuliani says.",that is the state of class warfare in our society.,0
less cops - more murder and rapes.,ask for the crime number and see.,0
and we got some significant things that need doing.,so say those that ruined it.,0
there has always been relative poverty.,hes a good family man and has been a below average president.,0
A black dog and a white dog playing in the street.,A black dog and a white dog play in the street together.,4
A large black and white dog is swimming in the water.,A black and white dog with a stick is in muddy water.,3
A man in a black shirt swims next to a girl on a pink surf board.,A man swimming beside a girl on a pink body board.,3
A young boy in a blue jacket swings a bat at a ball.,A young boy wearing a blue visor swings a bat.,3
we explain that to our tempos when they apply with us so they understand the importance of always being reachable..to,"as the only white in the hall, i understood why the question was being asked.",0
no spousal privilege in the case of a criminal prosecution.,it should be a matter of fact not a goverment regulation.,0
"i don't even know if he had a will, and if so, was it over here?",did anyone tell obama it's dangerous over there?,0
"i usually blurt out that the truth movements goal is not a second investigation, their goal is to absolve al qaeda of the murder of thousands of innocent people and that makes me mad.","they report that there are no planes coming in or out, and that there are tens of thousands of people at the airport.",0
A little boy clowns with a colander on his head.,A boy with a metal colander on his head.,4
A dog jogs through the grass.,a dog sprints across the grass.,2
A brown dog is running through the field.,a brown dog with his tongue wagging as he runs through a field,3
A skier skiing down a large mountain,A person skiing down a very large snow covered mountain.,3
A white and black dog runs on the grass.,Black and white dog running outside.,3
two men stand on a cliff top overlooking a sandy beach.,A man stands on a cliff overlooking the ocean.,2
This dog is jumping through the water.,Two dogs running through the water on a beach.,2
A person wearing scuba gear is swimming underwater water.,A person is scuba diving in very clear blue water.,3
joint mortgage (with mrs g) on family home.,i agree with there goes trouble.,0
it is a fluctuation that cannot be attributed to any one specific tax change...and,it is a national campaign that wants people to stop snitchin' on people who commit crimes.,0
"when i was pregnant, someone tried to run me over too.",the loan was originally to combine other debt and buy a new car.,0
(i screwed around with my settings.),she started out with shit pay..long,0
A male baby makes a funny face for the camera.,Children smiling and making faces to the camera.,1
A little boy is in a tire,A child rolls around in a large tire.,3
Two constructions workers sit on a beam taking a break.,The man is putting on his shirt near an elevator.,0
A man and a woman laughing.,A man and a woman kiss.,0
A bulldog is running through a grassy park while people stand in the background.,A dog is running in a large body of water causing it to splash.,1
A young boy riding a bike on a brick road,A person does tricks on a bike on a ramp surrounded by trees.,1
Two dogs are fighting on brick pavement.,Two brownish dogs are fighting.,3
A woman reads while on public transportation.,A man who has fallen asleep on public transportation.,1
just this shoulder pain.,does this sound like the sensible option.,0
the location of a person's birth doesn't make his life any more or less valuable than his neighbor's.,i suppose that is one of the reasons i see this whole stem cell thing as so weird.,0
"she's on line here but hasn't answered as to whether or not she follows all of leviticus, and whether or not she want's our nation's laws to follow all of leviticus.","don't you follow, and want our laws to follow all of leviticus?",1
i'm sure the house came with a child sized hole kicked in already.,she went on so much that i said i would get a ew on in february.,0
A person is out in the water at the beach while the sun sets.,A person above their surfboard on the water.,1
Two dogs run on the beach.,Brown dog running on the beach.,2
A girl jumping rope on a sidewalk near a parking garage.,A girl jumping rope on a sidewalk with a parking garage to the left.,4
A skateboarder in the city.,A skateboarder on a ramp.,1
At Least 22 Dead After China Earthquake,At least 89 dead in China earthquakes,2
"Gunmen kill nine foreign tourists, guide in Pakistan",Gunmen kill nine tourists in Pakistan,3
Israeli war jet strikes on northern Gaza,Israeli air strike on sourthern Gaza town kills seven,3
Red Sox beat Tigers to reach World Series,Red Sox beat Tigers 5-2 to advance to World Series,4
it said wreckage of the craft was strewn at the scene.,i didn't realize the casualties were that high this year.,0
"that is not a ""substantial drop""!",this is totally unacceptable!,0
do you know if a prediction is true or not.,do you know what a forecast is?,0
"like the ""housing"" bubble at the beginning of the bush administration.",the gop is fighting on the basis of religious institutions.,0
A person wearing pink pants and a white parka at a snow park.,A person wearing pink pants and a white jacket is snowboarding.,3
Two dogs run on a dirt area near a forest.,Two dogs run down a dirt path in the forest.,3
Two dogs running on the shore.,A white dog running on the beach.,1
The white dog has a ball in its mouth.,The black and white dog has a ball in its mouth.,3
A girl wearing a green jacket is standing at a stop light.,A woman in a green jacket is waiting to cross the street at a light.,3
A brown dog runs through the water in the ocean.,A brown dog runs through the water as a wave comes.,4
A man in a red shirt rappelling down a waterfall with a red rope.,A man in red is climbing a waterfall with a red rope.,1
A shirtless man playing football on a lawn.,A shirtless man catches a football,4
Two women holding checkered flags near an orange car.,Two ladies in skimpy clothes pose next to an old fashioned car.,2
A girl wearing green twists something in her hands.,A young boy wearing only green shorts poses awkwardly with a brick background.,0
A young man with a beard at an event.,A dog stands on a beach at sunset.,0
a young girl smiling with her head upside down,A girl poses with her head upside down.,4
He is taking the diaper off because he is uncomfortable.,You can try putting the diaper on backwards which may only work for a little while.,1
You are safe to use the bottles as long as they have been properly sterilised.,I would say it's completely safe so long as the bottles have been adequately rinsed to remove any detergent residue.,2
"I recommend fewer, longer stops instead of short, frequent stops.",I DO NOT recommend night driving--especially if your drive is in excess of ten hours.,1
"First of all, you should get past the idea that you are going to get her to change.",I agree that you need to take care of this prior to your child being born.,0
The clowns are striking a pose for the camera.,A child in orange is on a boogie board in the waves.,0
Two brown dogs barking at each other.,two brown and black dogs growling at each other.,2
Four kids holding hands jump into a swimming pool.,Four dogs playing in the snow.,0
A black dog walking along a rocky terrain.,"A black dog walks through a rocky, grassy landscape under a blue, cloudy sky.",2
"if you had a real job, you see it happens every day in the business world, who ends up holding the bag of dog poop.",if he had been like you those papers would have been dead by now and no one would have heard of murdoch.,0
i didn't quite understand why my cousin wasn't like me and he didn't understand it either.,but i can understand how some might have found it insensitive.,0
new democrats share the concerns voiced by the council of canadians over any trade deal that is negotiated in secrete.,"gypsies were not dragged in, but they were enslaved by the local lords anyway, for they were nomads and had no status.",0
what about his tax cuts for the middle class and poor?,"waiting in an outer hall, i stood to the side as my boss conversed with someone.",0
A person swimming in water nearby rocks and a small waterfall.,A person floats in water near rocks and a waterfall.,3
Two boys in a field kicking a soccer ball.,Two football players bang into each other during a football game.,0
A boy pushes a wagon with two pumpkins.,A child squats behind a wagon with two pumpkins in it.,1
Two soccer players battle for the ball during an intense match.,Two little orange and white dogs are in the snow.,0
it would take decades for iran to develop enough arms to really threaten israel and they never will anyways.,it sounds like you are going to have a really busy weekend without going to work anyways...and,0
so what does this have to do with newt?,what kind of outlets did this veteran have?,0
wars can speed the process up but as soon as the war is over it goes back to the same old slow approval process.,clearly we need the poor to have money in their pockets so they can buy our goods and services.,0
it's extremely difficult for china to be certified organic because of their practices.,"it's only relevant if you apply for a new mortgage, as others have said.",0
i am not sure if what i have written is what the coroner actually wants or what he can use.,i often wonder if he might have lived longer had he stayed with a more physically demanding job.,0
and that was certainly a motivator for me to work my way up the career ladder of my profession.,if that is not a self made man i have never heard of one.,0
sue your high school english teacher.,you help your dog chase its tail.,0
there is no possible way the cbo's or any of the various blogs cited numbers here can work.,here is a good point by point q&a analysis of these unrests in thailand.,0
the british did have evidence the iraqis were trying to buy uranium.,these sanctions in place will not harm the iranians intention to build nuclear weapons..,0
"@hawkeye10, we are free from government oppression.",there were dropped to intimidate russia.,0
"the ""effect"" people are talking about isn't simple political rhetoric designed to sway votes.",it's whether or not political rhetoric can cause people to do violence.,1
her police detail is reduced.,the police squad rode bicycles alongside the car.,0
A black and brown dog plays with a long stick.,A dog gets its legs tangled with a stick.,1
A black and white dog leaps to catch an orange Frisbee.,A black and white dog prepares to catch a Frisbee.,4
A boy in a red jacket and balck hat sliding on his knees down a snowy hill,A boy is riding a red sledge down a snowy hill.,1
A little boy is standing in front of a wedding party laughing.,A person standing on a stage in front of a seated crowd,0
Two gray dogs run together over the green grass.,Two dogs playing together on the grass.,3
A young blonde child holding an airplane.,A young blonde boy holding a toy airplane.,3
A black dog is chasing after a red Frisbee.,A black poodle is running in the snow.,0
A white dog with black markings runs through the snow.,Two large black dogs run through the snow.,0
"Bring lots of toys for your child to play with, books, activities.",I have always heard its a bad idea until they're two.,0
I think a daily family supper is a good idea.,I've tried to work on this with emotional intelligence: helping my kids understand what they and other people are feeling.,0
"Our daughter has always loved her bath, but coming out... not so much.",My wife and I originally had the same problem with our newborn twins fussing when bath time was over.,1
"As a programmer i would propose to you the following: Abstract thinking, Pragmatic Thinking, Higher problem solving.","In addition to the other suggestions, I'd say make sure he can type relatively accurately.",0
The dog is running through deep snow.,A dog running through snow.,4
A woman in a blue bathing suit is jumping off a dock into a lake.,a boy in a blue shirt and blue jeans runs across a playground,0
A dog is jumping in the air to catch an orange Frisbee.,a white dog jumping in the air to catch a red Frisbee.,4
a grey dog swimming through a river with a stick in his mouth,Dog swimming through water carrying stick in its mouth,3
"This question is rhetorical because it answered itself by using the word ""profanity"".",Its not just profanity but other words that are derisive of other people etc.,0
"Most doctors do recommend rice cereal as the first food, as there is almost no worry of allergic reaction.",Eating off a spoon has to be an unusual experience for them.,0
We had a problem with an older one (partially related to a younger child's birth) as far as #2.,"A newborn will start issues (as we've had) with jealousy, and a whole new set of attention seeking behaviour.",1
"After doing some research on this, it seems that some tantrum behaviors might be warning signs of problems.","I have 5 kids (20, 18, 10, 8, 6) and none of them ever threw a tantrum.",1
India Ink: Image of the Day: July 2,India Ink: Image of the Day: March 4,2
Nigerian military claims killing of top extremist,Nigerian military says no foreign operation by allies,1
Boeing 777 plane crash-lands at San Francisco airport,Plane crash lands at San Francisco airport,3
NSA whistleblower Edward Snowden offered asylum in Venezuela,"NSA whistleblower Edward Snowden offered asylum by Venezuela, Nicaragua and now Bolivia",3
pirates of the seas know they can't 'eff around with americans or any of their properties.,"prior to these events, she was healthy enough and not bedridden or in a wheelchair.",0
"i remember being absolutely terrified on the flight, but kept deathly still.",it might not seem like it right now but they really will.,0
"sure, i like gingrich.",there is hope in iraq.,0
we know about civil rights.,often but i have done it.,0
A person on a bmx bike.,A man on a bike in mid-air,3
A basketball player holding a basketball.,A basketball player is scoring a basket.,2
Two dogs running through tall grass.,Two dogs are running through a grassy area.,4
Two children are walking on a sidewalk wearing yellow and red backpacks.,Two children are walking along a street wearing yellow backpacks.,3
Asian Muslims celebrate Eid as 14 killed in Afghanistan,"Asian Muslims celebrate Eid as 52 die in Pakistan, Afghanistan",3
Suicide bomber kills 12 in Iraq cafe,Suicide Bomber Kills 15 in Northern Iraq,1
UN passes global arms trade treaty,U.N. to regulate global arms trade,4
Israeli army kills Palestinian in Ramallah,Israeli airstrike wounds two Palestinian activists in Gaza,0
"that is, they legally exclude any other company from providing services in the area.","that is not happening today and, frankly, i do not see it happening in the near future.",0
"so, my statements were as general as i could muster, in hopes of eliciting a clarification.","anyway some blacks were telling us we couldn't sit there, whites had to sit up front.",0
"""she's not sitting here"" he said.",2.if he is not staying her overnight he tells me.,0
"can you minimise the impact by the way you arrange your working hours, i.e.","at our center, the director is the last one out the door.",0
France cleared to impose controversial 'millionaire tax',Manila to increase counter-terror team,0
"Turkish police fight protesters, clear square",Turkish police clash with protesters for 2nd day,2
China's Peace Ark departs for the Philippines Thursday,China sends aid team to Philippines,4
Iran dissidents 'killed in Iraq',France loses influence in Europe,0
Two dogs are playing in the snow.,The dogs are running in the snow.,3
A young girl is diving into a pile of brown leaves in the yard.,A girl is jumping into a pile of leaves.,4
A boy waves around a sparkler.,A young boy is twisting a sparkler around in the air.,4
A black and brown dog is chewing on a large stick.,A black and white dog playing in the sand.,0
Fire at South Korean bus terminal kills 5,S Korea bus station fire kills seven,3
North Korea says to restart nuclear reactor,North Korea to restart Yongbyon nuclear reactor,3
Obama calls for calm after Zimmerman acquittal in Martin case,Obama calls for calm after Zimmerman acquittal; protests held,3
Israel to free Palestinian prisoners as deal to resume peace talks emerges,Israel to release Palestinian prisoners,3
and i think most americans are now seeing them that way too.,some politicians are now just preying on human weakness.,0
"don't get me wrong i dont give to receive but if this happened the other way round i would be mortified, she was just like aww thanks i must have forgot to put the money in your card, and that was that.","dont get me wrong its not that i dont appreciate what he does do, i certainly do and always make him aware of it but again he never bothers for me just expects it!",0
or are you truly just another libertarian lunkhead parroting your neocon/teabagger cousin's stupidity?,"i saw this as just another fox flunkie pushing the ""class warfare"" line that's heard from the neocon/teabagger pundits in the media.",0
i could be wrong but i think california may have more prisons than any other state.,i stopped going out with friends who i had been friends with all the way through school.,0
"Scientists grow ""mini human brains"" from stem cells",Scientists grow mini 'human brain' in the lab,4
Driver of crashed Spanish train held on suspicion of negligent homicide,Spanish train driver held on suspicion of negligent homicide,4
N.Korea cancels family reunions,North Korea Postpones Family Reunions with South,3
Is Fed ready to begin taper? Markets say yes,Is Fed ready to begin the great taper? Markets say yes,3
"in short, she doesn't have a clue what she's talking about.",once the disaster finally ends he may speak out.,0
"plus, i'm kind of scared of him.",i did not feel ready to be home.,0
continue living off the backs of those who pay for their benefits without any obligation to offer anything in return?!,the site this was posted on had other problems with an account being frozen.,0
"contrary to the persistent vomiting of 24hr news networks, the news doesn't really change as often as their advertisers would have you believe.",quote: the existence of 2 (presumably) youngish children would suggest that the marriage is not the cold and unrewarding one the husband would have you believe.,0
some football players in red jerseys taking another in a white jersey to the ground,Three football players from red team tackling one player from white team.,4
Two dogs playing in snow.,Two dogs play in the snow.,5
Bicyclists are standing at an intersection.,Bicyclists waiting at an intersection.,4
A dog is running through the snow.,A brown dog is running through the field.,2
Try switching to rats; weanling rats if you need something smaller.,"As mentioned in previous answers, rats and gerbils can be offered instead of mice or in a rotation with mice.",3
It is normal for a cat to get upset if an unfamiliar creature passes 'their' lawn/street/window.,You could try installing a privacy film on your windows.,0
It is major surgery and there's always a chance that the cat won't wake up from anesthesia.,They don't intend to leave those items around the house or untidy the house.,0
"One piece of advice I've seen is to use bait to lure the snails out, and then physically remove them.",You might consider adding a few Assassin Snails to the tank.,1
"fairbanks 60 in the summer and -60 in the winter) yeah, i had a few choice words for her.",determining the law and instructing the jury in that law is what the judge is for.,0
and stop worrying about it...,i hope it works out in the end...,0
"the peace movement has not died, nor is it resting.",the electoral commission has ordered an inquiry.,0
quit while you're behind.,edit: in which case he wouldn't be lying.,0
"The ASPCA website has an exhaustive list of toxic and non-toxic plants for dogs, cats, and horses.","I would say, unless you know it is safe for cats assume it to be poisonous.",1
"Ammonia is present in urine as a by-product of meat consumption, so its presence is entirely natural.","Drinking more water, urine smelling strongly, defecating outside the litter box - all of those signs sound like she's sick.",0
The main cause of the allergies is proteins in the saliva.,"Allergies to animals, particularly furry ones, can be across the board rather than species specific.",1
You should take this animal to a vet right away.,"As covered in the other answers, your only option is to see a vet in order to have surgery done.",1
A man jumps off of one rooftop onto another.,A young man jumps from one balcony to another.,2
A black person in black and red is sleeping on a bench with an open black umbrella.,A man sitting up taking a nap on a park bench with an open umbrella protecting him from the sun.,3
"One child pulls another, sitting in a red wagon, along the sand.",A young boy pulls another boy wearing a silly hat in a radio flyer wagon.,2
A black dog lays on a grassy lawn covered in leaves.,A black dog lays in the grass and looks towards the camera.,2
you don't believe fox news?,why don't you do it for yourself?,0
it might not be even his fault.,it is not selfish of me to think that is it?,0
matt millen broke down talking about it on espn.,why all the lying about this on your part?,0
"you ""honored"" the dead by pestering a group of people who were interested in not creating any more dead?","either he was really being vague on purpose in his testimony, he's lying now, or he was lying on the stand.",0
"Rogers, Videotron extend reach with network-sharing deal","Rogers, Videotron reach network-sharing, spectrum deal",4
Protests for kidnapped girls banned in Nigerian capital,Scores 'killed' in Boko Haram raid in Nigeria,0
Germany welcomes Iran nuclear agreement,Syria welcomes Iran's nuclear deal,1
US drone strike 'kills 4 militants in Pakistan',Suspected US Drone Kills 2 Militants in Pakistan,2
New uncertainty about missing Malaysian plane,T.B Joshua reveals fate of missing Malaysian plane,2
Flight of Boston Marathon bombing suspects ended in mayhem,Images of Boston Marathon bomb suspects released,1
Iran excluded from Syria peace talks: UN,Many killed in Syrian air strike,0
Libya asks UN Security Council for help,Kerry Calls On UN Security Council to Act on Syria,2
and of course the poppy propaganda.,and encourage me to do so.),0
"to me, this says that americans are willing to give obama the benefit of the doubt in 2012.",it makes more sense that islamic extremists are trying to kill two birds with one stone.,0
"but i had to make that move and remind them i was still there, even though i was at a different college.",but a large proportion remained loyal to ghaddafi and decided to fight for what they thought was right.,0
"apparently, the two folks that died paid nearly 10,000 dollars to attend the new age sweat led by two time oprah guest.","and yes the two bombs ended the pacific war, with out them we would have been forced to invade them.",0
"but, believe it or not, there are people who really like what they do even though you consider it to be menial.","they report that there are no planes coming in or out, and that there are tens of thousands of people at the airport.",0
"i sold an old french violin to a buyer in canada, and the buyer disputed the label.","she told me of her son, then in vietnam, and her wish to bring him home.",0
covert cia role in yemen proposed - wsj.com,police name suspect in murder of nj police officer - foxnews.com,0
they are run down garbage everywhere with people just sitting about doing nothing.,that you have to deal with this crap after serving is absolutely disgusting.,0
A yellow dog catches a Frisbee in mid air.,A yellow dog catches a red Frisbee.,4
A young men jumps off rocks into a lake.,A young man in red swimming trunks jumped off a large rock into the water.,4
Two children in a field of red flowers.,Two kids are playing in a field of red flowers.,4
A man running on a track.,a man running track,5
Ukraine offers unilateral ceasefire,Ukraine's Poroshenko declares ceasefire,3
Death toll 'rises to 17' after typhoon strikes Japan,Death Toll Rises to 84 in Pakistan Floods,0
China ‚Äėwill protect interests‚Äô of foreign business,Obama in ‚Äėdirect‚Äô confrontation with Putin on Ukraine,0
Israel Forces Kill 2 Palestinian Militants,Israeli army kills Palestinian militant in raid,3
i curse worse than a sailor so i felt it was best to think about those choice words for her.,oil is washing up north of miamui beach on the east side of florida.,0
who said zimmerman is a victim?,wow that vor person is a idiot!,0
seems to me you would want them to make money in order to have money in order to clean up this mess..,"also, penn state fans are being encouraged to wear white to the next game in order to protest the persecution of paterno and express their support.",0
"the rich don't need cobra, they can buy their own individual policy at any price...so","the poor don't need cobra to continue being insured, they never were insured by their employers, they have medicaid.",1
don't think i could handle it though..i,don't think they went to tangier.,0
"that's why the us has the largest prison population in the world, in both numbers, and as a percentage of the population.","that year, roosevelt signed the proclamation establishing oklahoma as the 46th state of the union.",0
"if there is no civil marriage, there is no recognition, and so those things all disappear.","one is a loan, the other is an overdraft and one is a credit card.",0
he did not start out in the copy room of some local city paper and work his way up to mogul.,problem i see is not the color of people that live in here and not from where they come.,0
ground/home deliver tues thru sat...,they didn't even have a train station...,0
my mum married the other man and stayed with him until he died.,my dad met a lovely woman and also remarried.,0
it's a human endeavor.,and that's a tall order.,0
"a recent example is how a federal court rejected a lawsuit based on ""national security.""","upon his release he sued the us for the above crimes and the case was dismissed for ""national security reasons.""",2
"if your clients are starting to hire again, that means recovery has been happening for a number of months now.","this is so awful, that poor girl, and this has been happening for 10 years?",0
you don't remember this post?,remember iran contra?,0
"ok, that's a good point.",which i think is a good idea.,0
people who are the technicians to maintain the robots.,those who lead us along this path to bankruptcy are not heroes.,0
If a statement is not provable an inconsistency or self-contradiction may or will develop that invalidates the system.,Should arrival at this point be the focus for examination of any system?,0
"First of all, one needs to separate mathematical model from reality.",The question heading is understandable but I found the question body confusing.,0
I gave this a lot of thought a few years ago and came up with a test.,I take the Google quote to be a jab at Russia in terms of homosexuality.,0
"I work in a quite technical field, that my wife knows nothing about.","I think the problem lies with the term ""some concept"".",0
Iran warns of spillover of possible war on Syria,"Iranian Delegation Heads to Lebanon, Syria",0
Death toll in India building collapse hits 42,Toll from India building collapse hits 25,3
Liquid ammonia leak kills 15 in Shanghai,Ammonia leak kills 15 in Shanghai,5
Ukraine's Tymoshenko urges protesters to carry on,Ukraine's opposition chief wants more protests,1
"why are 1,500 available us oil skimmers not on the scene?",any real comment about the content?,0
here's what class warfare looks like!,there's a different sort of blood libel.,0
what kind of outlets did this veteran have?,why do you hate people that work in their own home?,0
eventually got him about 6am and he said he was in his mates house.,"eventually got him at 8.30. he stayed with "" a friend"" am i asking to much to be told he is not coming home?",0
it seems like every time something goes on between my husband and i that his friends have to get involved or make rude comments.,"it seems like the best option would have been something like ""hey, i think this violin is fake and paypal is saying i have to destroy it to get my money back.",0
"our justice system is rotten to the core, so what are we going to do about it?",do you think she just told you not to bother because you just had a baby not to long ago?,0
"it may destabilize the gulf for a while, but in the long run it will prove to be fruitful.","if the government provides health care, whether spelled out in this bill or not, it will ration the care.",0
i think this is a political not current event thread.,"i wouldn't say it's racist, just insular great thread.",0
those are truths republicans can't bear to face.,"but those are elastic terms, and this request will not be the last.",0
what the police have to find out now is if zimmerman instigated the confrontation.,"whatever the amount was, i hope he sold his soul and his ethics for a high amount.",0
we will tell you what to think.,we returned to new york by train.,0
"the oldest child is at university, the youngest will be starting a levels this year you have no evidence whatsoever that his home life is barren and unhappy.",the entire bush cabinet is starting to look like an image awards telecast minus the fisticuffs and gunplay.,0
A black and white dog is running on the beach.,A white dog is running on sand.,2
A man who is resting his head on his hand.,A woman resting her face on her hand.,0
A brown dog sits on the beach.,A dog running on the beach,1
A dog in a car.,A black and tan dog sleeps in the car.,2
does it automatically get split between me and my sisters or do we have to try and track down this other will?,"i have 3 kids between 7 and 2, my sister has a daughter aged 10 months.",0
"in your own mind, maybe, outside of it, the word may take on a different meaning.","my brother is an alcoholic, with 2 daughters from 2 different marriages.",0
this has been so usual for us that i can bring her home and not change her again til 6:30 or 7 and her diaper is still peed in but not full at all.,"whenever we pick her up from all but one of the teachers, her sheet says she was changed at 4:30ish and when i change her again at 6:30 or 7 her diaper is fine.",1
she actually asked me if i had a can of pumpkin for back up.,she acts like she had no idea who she was praising.,0
"but foremost he is not a career politician as his profession is actually an academic one, partly in the us where he also studied.","but no, he acts as if he got a memo from the mcqueary and forwarded it on to his superiors like he was supposed to.",0
both roundabouts and metrication will help you understand the british sense of humour.,"just say, the topic is beyond your understanding and its all good.",0
yesterday was the day that the lib dems killed higher education in this country.,"no jobs at the hotel, no college education, nothing but being born a hilton.",0
you can bitch all you want about tax rates.,"good catch, i forgot alcohol and cigarettes.",0
Two dogs are running on the grass in front of the trees.,A brown dog is running on the grass in front of some trees.,2
A brown dog is running across the grass with a stick in it's mouth.,A big tan dog runs on grass with a big stick in his mouth.,3
Child holding an object that is on fire.,A child in pink holds an object that appears to be on fire.,4
A dog in in a car.,A dog is biting a mop.,0
Body of missing South Korean shipping tycoon found in field,Sewol ferry disaster: Body of South Korean shipping tycoon found,4
New Boko Haram video claims to show missing Nigerian schoolgirls,Boko Haram video said to show kidnapped Nigerian girls,4
Actor Philip Seymour Hoffman found dead,US actor Philip Seymour Hoffman found dead in New York,4
Pro-Russians forces enter Ukrainian naval base in Crimea,Crimean forces storm Ukrainian navy headquarters,3
two tan dogs play in the grass,A lean dog playing in tall grass.,1
A dog with floppy ears walking towards the camera in the woods.,A child in front of his own reflection turning towards the camera and smiling.,0
a young boy climbing on a rock wall,Five greyhounds are racing on a sand track.,0
A brown dog is splashing water everywhere by shaking the water off of itself.,A white dog is standing by a river shaking himself dry.,1
"don't even get me started on how badly labour wrecked the economy, or how they totally destroyed the police force.",it took the parent of martin 3 days before they got the word from the local police dept.,0
"get your head out of ron paul's ass, will ya please.",you're talking about white house press releases.,0
it seems that if you help denigrate anti-intellectualism it flags up that you are an intellectual.,it sounds as if your health care coverage rations in the exact same way that private health care does.,0
i'm open minded and i just don't take things as personally as others do.,i'm all for campaigning but i think that this was really a step too far.,0
Mall attackers used 'less is more' strategy,"In Kenya, attackers used 'less is more' strategy",1
6.4-magnitude quake strikes off Indonesia,6.9-magnitude quake strikes off Russia's Kuril Islands,1
Islamists protest US drone strikes in Pakistan,Islamists lead protests against US drone strikes in Pakistan,4
US Flying Surveillance Missions to Help Find Kidnapped Nigerian Girls,US surveillance aircraft join hunt for kidnapped Nigerian girls,3
On a temporary basis and as an ongoing personal philosophy selflessness is possible but a consistent selfless life is unsustainable.,Anything we do based on our thinking and our emotions.,0
The similiarity between Kant's and Wittgenstein's trains of thought has been expounded before for sure.,The question seems to presuppose contemporary sources are the best way in to philosophy.,0
I can imagine a scenario where a single all powerful god create the universe that we know of.,It is the same idea as what Aristotle called the unmoved mover.,0
A more idiomatic paraphrase of ~(x)Bx is: not everything is a bird.,You've actually (perhaps unintentionally) asked a controversial question in the philosophy of logic.,0
michigan is also considered mitt's home state.,main issue i see is identity.,0
"the problem i have here is that the wbc's site isn't a memorial site for matthew snyder, it is their own property to disseminate their point of view.","however, there is no drama that he was involved with anna chapman or any other honey pot involved with russian or us mafias.",0
the former home secretary charles clarke is the outsider at 66/1.,the nurse needs a scientific calculator to take your pulse.,0
"but our parents said ""oh no, it was an accident"".","it was our day, how we wanted and it was wonderful.",0
People are standing on an escalator moving up.,People ride up an escalator.,4
Three little girls are sitting on the grass.,Three little children are sitting in the grass.,3
A woman in a dress raises her arm over her head.,A woman looking upward with her hand above her head.,2
